,percentsampleremoved,outcome_index,mixed_index,intake_index
1,5,0.675283658,0.864125351,0.891580754
2,5,0.791393035,0.764655877,0.836914237
3,5,0.720185211,0.90051246,0.905597679
4,5,0.856419838,0.882755265,0.86741404
5,5,0.915445016,0.759841285,0.949189459
6,5,0.915231174,0.83493635,0.915704341
7,5,0.785489451,0.624805529,0.792190962
8,5,0.876947447,0.854068325,0.690646212
9,5,0.65071618,0.91954479,1
10,5,0.77012905,0.780019131,0.915338379
11,5,0.738794196,0.835682097,0.94930934
12,5,0.876947447,0.901270391,0.352938426
13,5,0.674040466,0.835682097,0.770204437
14,5,0.757444728,0.716237167,0.915337317
15,5,0.78872386,0.843109326,0.756835839
16,5,0.749876793,0.879012006,0.663550074
17,5,0.685642793,0.702603542,0.477950986
18,5,0.805643636,0.815875576,1
19,5,0.726778686,0.792939988,0.898546534
20,5,0.794474926,0.845946238,0.943248796
21,5,0.773501911,0.87742006,0.371773106
22,5,0.753966507,0.93646035,0.949526666
23,5,0.775945744,0.816887524,0.944063849
24,5,0.825728925,0.879244721,0.905572647
25,5,0.772324069,0.839748495,0.666907281
26,5,0.71827357,0.928471292,0.592057944
27,5,0.694608854,0.697216595,0.942375356
28,5,0.778031801,0.815042387,0.94930934
29,5,0.713086896,0.822609383,0.779314199
30,5,0.76416536,0.716814114,0.949150466
31,5,0.712442576,0.714138555,0.756923858
32,5,0.894243397,0.588023298,0.856945234
33,5,0.741666834,0.773013502,0.942375356
34,5,0.877124965,0.726411334,0.857429067
35,5,0.712197634,0.795508806,0.586070371
36,5,0.794829193,0.835028716,0.943966838
37,5,0.652636807,0.882644816,0.942375356
38,5,0.944653555,0.913695184,0.79375857
39,5,0.810787292,0.84281891,1
40,5,0.693495686,0.864344866,0.94930934
41,5,0.798139341,0.863653909,1
42,5,0.857351237,0.85403074,0.652324604
43,5,0.731920914,0.814756051,0.892491742
44,5,0.86418335,0.882322601,1
45,5,0.944653555,0.834894477,0.943199291
46,5,0.91659393,0.697092645,0.556118307
47,5,0.644495396,0.738067587,0.948913531
48,5,0.671431465,0.928713522,1
49,5,0.672194732,0.67607003,1
50,5,0.619767288,0.80825657,0.94930934
51,5,0.644062892,0.802644657,0.891330895
52,5,0.561225505,0.549791602,0.588421796
53,5,0.862177826,0.866749882,0.943869318
54,5,0.861061537,0.877976769,1
55,5,0.793241977,0.856318209,0.916342654
56,5,0.863481147,0.903889542,0.853798949
57,5,0.949394995,0.453082367,0.845983553
58,5,0.76918573,0.577039219,0.948729042
59,5,0.747826274,0.708741617,0.585876558
60,5,0.810167685,0.863948695,0.892708298
61,5,0.762767715,0.600268486,0.944063849
62,5,0.770866238,0.93646035,0.764281563
63,5,0.894463032,0.901618647,0.764535558
64,5,0.89461666,0.857897681,0.942375356
65,5,0.637029511,0.835154526,1
66,5,0.795988782,0.793132916,0.790500144
67,5,0.94960769,0.824335487,0.892708298
68,5,0.838550354,0.825753322,0.703156127
69,5,0.876947447,0.669123221,0.904172845
70,5,0.94960769,0.835316025,0.949150466
71,5,0.748461847,0.777481364,0.67800051
72,5,0.661573397,0.701408847,0.944031568
73,5,0.728551171,0.819287623,0.94930934
74,5,0.895662293,0.486874273,0.658215125
75,5,0.87545554,0.67513907,0.948729042
76,5,0.77788146,0.689077244,1
77,5,0.637286674,0.882918204,0.893281138
78,5,0.906884883,0.806937554,0.948957318
79,5,0.607530514,0.8386174,0.94930934
80,5,0.577363278,0.83341798,0.891762138
81,5,0.744496657,0.901207754,0.840857909
82,5,0.693371288,0.68812467,1
83,5,0.907976416,0.846546556,0.916024927
84,5,0.843017294,0.71937858,0.948957318
85,5,0.658337743,0.849700394,0.468147681
86,5,0.782024179,0.91378582,1
87,5,0.798139341,0.836846583,0.791351253
88,5,0.749196602,0.851959465,0.859052904
89,5,0.87545554,0.820409749,0.851701113
90,5,0.948445576,0.800216025,0.941382359
91,5,0.906737856,0.832454624,0.693237492
92,5,0.825565164,0.747637932,0.904172845
93,5,0.797370668,0.82505088,0.592057944
94,5,0.584646096,0.748839877,0.905597679
95,5,0.898483697,0.650903436,0.942375356
96,5,0.810715245,0.783939039,0.859447972
97,5,0.751768808,0.808630827,0.821393726
98,5,0.898624408,0.698482715,0.85812761
99,5,0.744349576,0.573834375,1
100,5,0.850356349,0.935251897,0.646363968
101,10,0.691968812,0.637538221,0.730906866
102,10,0.765547544,0.872832325,0.888095687
103,10,0.904115789,0.748621498,0.707183231
104,10,0.71962936,0.725795164,0.888682477
105,10,0.717439549,0.683861943,0.911807893
106,10,0.766750044,0.642743631,0.445869471
107,10,0.797280463,0.777006417,0.851856169
108,10,0.829619585,0.701987072,0.851470661
109,10,0.853064203,0.480454618,0.448993409
110,10,0.559907129,0.9337871,0.761809713
111,10,0.837859993,0.75222283,1
112,10,0.832574719,0.811005703,0.941454766
113,10,0.804262721,0.84599399,0.884550888
114,10,0.894740979,0.7733893,0.902851177
115,10,0.664868772,0.627156262,0.596751064
116,10,0.572920197,0.874919517,0.34472697
117,10,0.699951989,0.785134644,0.88329619
118,10,0.678670098,0.753792839,0.550765095
119,10,0.827483244,0.758927063,0.886377598
120,10,0.8721077,0.891432121,0.939528201
121,10,0.815804048,0.895647883,0.532097463
122,10,0.765573972,0.812408745,0.578033211
123,10,0.65779813,0.813682075,0.679988924
124,10,0.885551758,0.71348293,1
125,10,0.375095162,0.813682075,0.783492606
126,10,0.758669451,0.765430167,0.408522013
127,10,0.717367153,0.810668139,0.833499076
128,10,0.904170994,0.719336572,0.751307888
129,10,0.888925418,0.630926633,0.717561897
130,10,0.637347767,0.872863131,0.601407596
131,10,0.671852497,0.753171481,0.902851177
132,10,0.615120836,0.814154622,0.803225533
133,10,0.792865276,0.727883002,0.887970942
134,10,0.613851232,0.707140734,0.752696486
135,10,0.863585343,0.878741947,0.849898572
136,10,0.738992031,0.832680443,0.787588057
137,10,0.792817494,0.570574502,0.390141403
138,10,0.889997223,0.724519502,0.708641668
139,10,0.564499981,0.655774422,0.698109705
140,10,0.645193592,0.664056922,0.887970942
141,10,0.733514878,0.799426605,0.817067094
142,10,0.749041838,0.742555005,0.885962254
143,10,0.893822908,0.78758247,0.940536986
144,10,0.633628212,0.849612776,0.77061882
145,10,0.517626642,0.678988581,0.83657628
146,10,0.737509835,0.816296715,0.70676429
147,10,0.859328179,0.510818957,0.549004064
148,10,0.748834946,0.81498071,0.794905611
149,10,0.633127107,0.677755355,0.939508498
150,10,0.765705633,0.894385802,0.853455127
151,10,0.891132423,0.830365504,0.795561249
152,10,0.699518646,0.793703485,0.80211438
153,10,0.734718427,0.474782548,0.762442793
154,10,0.579444061,0.739250886,0.941454766
155,10,0.765707807,0.757950131,0.901384184
156,10,0.770113092,0.891252226,0.946964794
157,10,0.795081387,0.730818076,0.896027092
158,10,0.699467385,0.63253369,0.849031613
159,10,0.711842137,0.871182004,0.913302688
160,10,0.772328287,0.826321339,0.596661366
161,10,0.582069256,0.572040014,0.847575568
162,10,0.720138742,0.824811304,0.568226248
163,10,0.846598886,0.445538423,0.458674078
164,10,0.773965017,0.794883649,0.766151589
165,10,0.703524075,0.582736059,1
166,10,0.741607607,0.873544354,0.637967109
167,10,0.801869005,0.812565727,0.764620573
168,10,0.593259102,0.853118551,0.946655772
169,10,0.868234538,0.858889569,0.791303163
170,10,0.677890114,0.635795204,0.603684791
171,10,0.697752363,0.454322794,0.849332517
172,10,0.764159791,0.872470116,0.493990022
173,10,0.802931166,0.714193317,0.416923522
174,10,0.750746224,0.764985769,0.592045789
175,10,0.844731436,0.830005787,0.887970942
176,10,0.754590978,0.831227815,0.887959737
177,10,0.786919606,0.665431031,0.399124886
178,10,0.790384607,0.672520554,0.396366541
179,10,0.699951989,0.72044904,0.800097288
180,10,0.83167953,0.67385848,0.796347425
181,10,0.855828016,0.763401735,0.469947099
182,10,0.817935047,0.711791711,0.946708256
183,10,0.67398302,0.653049632,0.836800264
184,10,0.699752665,0.809695028,0.418175435
185,10,0.664432116,0.75207293,0.842135648
186,10,0.609279045,0.549920199,0.888682477
187,10,0.842495486,0.832874024,0.849771219
188,10,0.73943102,0.58226279,0.534315085
189,10,0.803813928,0.878248101,0.584460102
190,10,0.62188291,0.441921077,0.644739471
191,10,0.805282905,0.458387573,0.939508498
192,10,0.611505503,0.757576028,0.883957508
193,10,0.820110503,0.505743331,0.783761549
194,10,0.612867955,0.463402653,0.946796716
195,10,0.581689532,0.845856867,0.402253832
196,10,0.75938086,0.571850884,0.627398896
197,10,0.832818872,0.847716243,0.59645246
198,10,0.890083348,0.851126446,0.766748365
199,10,0.77357144,0.700677312,0.702143713
200,10,0.55972932,0.555944742,0.812427788
201,20,0.641991408,0.434982707,0.678873271
202,20,0.578305068,0.653559954,0.778134724
203,20,0.747200682,0.680355446,0.809770948
204,20,0.639011351,0.460823996,0.696289939
205,20,0.62594155,0.616756493,0.627115333
206,20,0.654296849,0.783173359,0.804276967
207,20,0.563987579,0.725649309,0.654483287
208,20,0.719112529,0.543701,0.319395385
209,20,0.695959865,0.788688915,0.819935142
210,20,0.655850108,0.959858795,0.587536971
211,20,0.651261175,0.670543231,0.653719858
212,20,0.681962222,0.605103629,0.799707066
213,20,0.552440047,0.496762803,0.383116826
214,20,0.638438998,0.671909838,0.835318349
215,20,0.77046111,0.632360625,0.479446313
216,20,0.659576337,0.447939531,0.592173313
217,20,0.664252737,0.457631293,0.474455347
218,20,0.695102754,0.726531219,0.534262757
219,20,0.785869444,0.72667164,0.550504231
220,20,0.801515539,0.771066484,0.758556118
221,20,0.537491047,0.575279544,0.363725928
222,20,0.500504403,0.456861918,0.877934506
223,20,0.670058255,0.74125318,0.518302316
224,20,0.692618535,0.632540258,0.386270335
225,20,0.591843438,0.750976298,0.567525442
226,20,0.52023543,0.447407848,0.904708766
227,20,0.839543506,0.717253441,0.641006095
228,20,0.617378062,0.741390327,0.674059885
229,20,0.645235641,0.771052547,0.302528514
230,20,0.623756191,0.833950856,0.936363972
231,20,0.749698527,0.650926882,0.684846765
232,20,0.794802613,0.652007227,0.879413964
233,20,0.693287006,0.742084952,0.741024097
234,20,0.785256753,0.466289821,0.792508421
235,20,0.596546978,0.765769229,0.777947136
236,20,0.884403658,0.676802849,0.876329167
237,20,0.59557487,0.804858571,0.659622796
238,20,0.524580582,0.818145952,0.674438011
239,20,0.706210675,0.73709262,0.480881352
240,20,0.750443386,0.442484223,0.671096251
241,20,0.507480835,0.60987085,0.459293458
242,20,0.488225823,0.648227829,0.935287415
243,20,0.747423337,0.623499061,0.563978419
244,20,0.520251699,0.776707921,0.661335244
245,20,0.669560474,0.686639604,0.767731762
246,20,0.625885609,0.661478502,0.876062869
247,20,0.527073262,0.671673337,0.785298766
248,20,0.641382327,0.641568814,0.941612814
249,20,0.721590848,0.739939532,0.3866819
250,20,0.535001734,0.40972618,0.756325575
251,20,0.466529289,0.810986357,0.387917081
252,20,0.806000872,0.596150103,0.436677698
253,20,0.736140598,0.426179476,0.417429218
254,20,0.68392492,0.462878744,0.779331584
255,20,0.705096597,0.559250502,0.319098889
256,20,0.690712899,0.715811244,0.832447333
257,20,0.681023129,0.501275102,0.747431627
258,20,0.678324499,0.812436667,0.575260063
259,20,0.844732187,0.734434724,0.718876748
260,20,0.658114167,0.671475237,0.665560307
261,20,0.654849495,0.560870601,0.370624436
262,20,0.729984987,0.76373223,0.457388483
263,20,0.43942849,0.773449083,0.809415539
264,20,0.685363669,0.493868123,0.526865571
265,20,0.779105403,0.511496003,0.762515348
266,20,0.83814584,0.715903926,0.33643067
267,20,0.716037415,0.468039175,0.836362683
268,20,0.755717608,0.686432852,0.430119375
269,20,0.68526694,0.682958765,0.665663455
270,20,0.752578875,0.753387107,0.404734824
271,20,0.694215053,0.795270014,0.315002558
272,20,0.731095969,0.581045999,0.743104106
273,20,0.824262806,0.680752152,0.848005143
274,20,0.628182392,0.776907542,0.74456626
275,20,0.852323449,0.534872979,0.465533617
276,20,0.480071127,0.461715193,0.610280499
277,20,0.388763965,0.673243677,0.515453913
278,20,0.657455811,0.785258773,0.737581221
279,20,0.705789222,0.750106341,0.436539173
280,20,0.654397431,0.487318258,0.801676839
281,20,0.581268944,0.753004782,0.485225286
282,20,0.692053968,0.867798431,0.744942276
283,20,0.675332047,0.433439518,0.615711413
284,20,0.597143939,0.610518195,0.444082489
285,20,0.90518793,0.629292224,0.647834505
286,20,0.781888503,0.473418479,0.83216298
287,20,0.657811418,0.494732951,0.685396926
288,20,0.735225483,0.767028528,0.719897508
289,20,0.64443424,0.52832343,0.741024097
290,20,0.937337323,0.627404996,0.481835925
291,20,0.545143409,0.747432634,0.737829746
292,20,0.617467673,0.606223307,0.676179015
293,20,0.766421326,0.6546399,0.44145966
294,20,0.90518793,0.694569371,0.891258321
