LHfrontal,RHfrontal,LHtemporal,RHtemporal,data.mixed.meanFD,data.perc.soc,tot,adap,rl,el,elc,LHfrontal.1,RHfrontal.1,LHtemporal.1,RHtemporal.1,data.mixed.meanFD.1,data.perc.soc.1,tot.1,adap.1,rl.1,el.1,elc.1,Cluster.last,el_sd,rl_sd,elc_sd,adap_sd,tot_sd,data.perc.soc_sd,LHtemporal_sd,RHtemporal_sd
-0.004520114,0.008655378,0.043271243,0.059492263,0.055721001,68.1856,5.038461538,110.3846154,112.6730769,113.5192308,119.4230769,-0.004520114,0.008655378,0.043271243,0.059492263,0.055721001,68.1856,6.269230769,99.65384615,101.4261538,98.57269231,105.4230769,1,12.93318334,15.56066985,10.89650614,10.07601875,6.199875929,23.56023434,0.04708193,0.056211447
0.009109359,0.017608569,0.034190984,0.035600335,0.089346577,69.80387097,11.04347826,90.39130435,89.12927536,87.39188406,91.26086957,0.009109359,0.017608569,0.034190984,0.035600335,0.089346577,69.80387097,12.13043478,89.11594203,80.76710145,77.94072464,85.69565217,2,15.65130978,15.24373606,16.11416273,9.575116942,7.670483501,22.287623,0.048224999,0.084283055
-0.001726668,-0.009156758,0.005324155,0.006226256,0.066247551,51.02076923,18.78571429,71.33333333,56.94452381,51.3547619,60.35714286,-0.001726668,-0.009156758,0.005324155,0.006226256,0.066247551,51.02076923,20.28571429,80.85714286,54.72071429,54.26904762,68.5952381,3,17.57381911,15.10878297,11.53535695,9.457650579,6.022460863,25.96124261,0.044439081,0.055771125
