LHfrontal,RHfrontal,LHtemporal,RHtemporal,data.asd.meanFD,data.perc.soc,tot,adap,rl,el,elc,LHfrontal.1,RHfrontal.1,LHtemporal.1,RHtemporal.1,data.asd.meanFD.1,data.perc.soc.1,tot.1,adap.1,rl.1,el.1,elc.1,Cluster.last,el_sd,rl_sd,elc_sd,adap_sd,tot_sd,data.perc.soc_sd,LHtemporal_sd,RHtemporal_sd
0.006870487,0.026770002,0.035287795,0.048669894,0.083477836,59.19129032,16.85714286,90.57142857,91.27114286,93.26114286,93.57142857,0.006870487,0.026770002,0.035287795,0.048669894,0.083477836,59.19129032,17,86.05714286,72.53942857,71.22,81.51428571,1,16.75427703,15.0752828,16.64382188,12.809201,5.018453342,26.48472991,0.044661574,0.045239457
0.007923604,0.003129016,0.015824131,0.006267246,0.05356923,58.37107143,18.23333333,78.03333333,67.921,62.34533333,68.4,0.007923604,0.003129016,0.015824131,0.006267246,0.05356923,58.37107143,18.96666667,83.76666667,60.40133333,64.25233333,72.83333333,2,13.13801138,13.21152197,13.56618514,3.709106532,3.654787444,24.66806187,0.047716476,0.082336044
-0.009749456,-0.016234175,-0.009134248,0.000492441,0.083846428,44.4,21.875,64.4375,46.59,40.26375,54.0625,-0.009749456,-0.016234175,-0.009134248,0.000492441,0.083846428,44.4,22.125,76.1875,43.45375,43.030625,62.5625,3,17.08885441,12.36631823,8.835298524,11.28402263,3.981205847,25.71737383,0.039109592,0.04941238
